PRODUCTID,PRODUCTNDC,NDCPACKAGECODE,PACKAGEDESCRIPTION
52119-001_686fa3de-6efc-4365-a565-e51ff0426dce,52119-001,52119-001-10,10 kg in 1 DRUM (52119-001-10)
52119-001_686fa3de-6efc-4365-a565-e51ff0426dce,52119-001,52119-001-15,15 kg in 1 DRUM (52119-001-15)
52119-001_686fa3de-6efc-4365-a565-e51ff0426dce,52119-001,52119-001-20,20 kg in 1 DRUM (52119-001-20)
52119-001_686fa3de-6efc-4365-a565-e51ff0426dce,52119-001,52119-001-25,25 kg in 1 DRUM (52119-001-25)
52119-002_c940bf28-a059-4d78-b044-35079d6e0146,52119-002,52119-002-05,5 kg in 1 DRUM (52119-002-05)
52119-002_c940bf28-a059-4d78-b044-35079d6e0146,52119-002,52119-002-10,10 kg in 1 DRUM (52119-002-10)
52119-002_c940bf28-a059-4d78-b044-35079d6e0146,52119-002,52119-002-15,15 kg in 1 DRUM (52119-002-15)
52119-002_c940bf28-a059-4d78-b044-35079d6e0146,52119-002,52119-002-20,20 kg in 1 DRUM (52119-002-20)
52119-002_c940bf28-a059-4d78-b044-35079d6e0146,52119-002,52119-002-25,25 kg in 1 DRUM (52119-002-25)
52119-003_17c0556c-b254-401d-bb7a-5b86907942ed,52119-003,52119-003-05,5 kg in 1 DRUM (52119-003-05)
52119-003_17c0556c-b254-401d-bb7a-5b86907942ed,52119-003,52119-003-10,10 kg in 1 DRUM (52119-003-10)
52119-003_17c0556c-b254-401d-bb7a-5b86907942ed,52119-003,52119-003-15,15 kg in 1 DRUM (52119-003-15)
52119-003_17c0556c-b254-401d-bb7a-5b86907942ed,52119-003,52119-003-20,20 kg in 1 DRUM (52119-003-20)
52119-003_17c0556c-b254-401d-bb7a-5b86907942ed,52119-003,52119-003-25,25 kg in 1 DRUM (52119-003-25)
52119-004_e61e328d-e8d2-4030-8520-c0d07aa53a5f,52119-004,52119-004-25,25 kg in 1 DRUM (52119-004-25)
52119-004_e61e328d-e8d2-4030-8520-c0d07aa53a5f,52119-004,52119-004-50,50 kg in 1 DRUM (52119-004-50)
52119-005_0f31c993-17b7-4dbf-a7ff-48e0f6c83a8b,52119-005,52119-005-01,1 kg in 1 DRUM (52119-005-01)
52119-005_0f31c993-17b7-4dbf-a7ff-48e0f6c83a8b,52119-005,52119-005-02,2 kg in 1 DRUM (52119-005-02)
52119-005_0f31c993-17b7-4dbf-a7ff-48e0f6c83a8b,52119-005,52119-005-05,5 kg in 1 DRUM (52119-005-05)
52119-005_0f31c993-17b7-4dbf-a7ff-48e0f6c83a8b,52119-005,52119-005-10,10 kg in 1 DRUM (52119-005-10)
52119-005_0f31c993-17b7-4dbf-a7ff-48e0f6c83a8b,52119-005,52119-005-15,15 kg in 1 DRUM (52119-005-15)
52119-005_0f31c993-17b7-4dbf-a7ff-48e0f6c83a8b,52119-005,52119-005-20,20 kg in 1 DRUM (52119-005-20)
52119-005_0f31c993-17b7-4dbf-a7ff-48e0f6c83a8b,52119-005,52119-005-25,25 kg in 1 DRUM (52119-005-25)
52119-006_dd773cb8-025a-4152-a787-bfdf5df13deb,52119-006,52119-006-05,5 kg in 1 DRUM (52119-006-05)
52119-006_dd773cb8-025a-4152-a787-bfdf5df13deb,52119-006,52119-006-10,10 kg in 1 DRUM (52119-006-10)
52119-006_dd773cb8-025a-4152-a787-bfdf5df13deb,52119-006,52119-006-15,15 kg in 1 DRUM (52119-006-15)
52119-006_dd773cb8-025a-4152-a787-bfdf5df13deb,52119-006,52119-006-20,20 kg in 1 DRUM (52119-006-20)
52119-006_dd773cb8-025a-4152-a787-bfdf5df13deb,52119-006,52119-006-25,25 kg in 1 DRUM (52119-006-25)
52119-007_1a1bdd57-ad22-4718-9bbe-434e9a817859,52119-007,52119-007-05,5 kg in 1 DRUM (52119-007-05)
52119-007_1a1bdd57-ad22-4718-9bbe-434e9a817859,52119-007,52119-007-10,10 kg in 1 DRUM (52119-007-10)
52119-007_1a1bdd57-ad22-4718-9bbe-434e9a817859,52119-007,52119-007-15,15 kg in 1 DRUM (52119-007-15)
52119-007_1a1bdd57-ad22-4718-9bbe-434e9a817859,52119-007,52119-007-20,20 kg in 1 DRUM (52119-007-20)
52119-007_1a1bdd57-ad22-4718-9bbe-434e9a817859,52119-007,52119-007-25,25 kg in 1 DRUM (52119-007-25)
52119-008_128d4076-f800-4f87-b4cc-961423f30314,52119-008,52119-008-05,5 kg in 1 DRUM (52119-008-05)
52119-008_128d4076-f800-4f87-b4cc-961423f30314,52119-008,52119-008-10,10 kg in 1 DRUM (52119-008-10)
52119-008_128d4076-f800-4f87-b4cc-961423f30314,52119-008,52119-008-15,15 kg in 1 DRUM (52119-008-15)
52119-008_128d4076-f800-4f87-b4cc-961423f30314,52119-008,52119-008-20,20 kg in 1 DRUM (52119-008-20)
52119-008_128d4076-f800-4f87-b4cc-961423f30314,52119-008,52119-008-25,25 kg in 1 DRUM (52119-008-25)
52119-009_73277f81-e4c8-4478-a9fa-3965dfe5cf68,52119-009,52119-009-05,5 kg in 1 DRUM (52119-009-05)
52119-009_73277f81-e4c8-4478-a9fa-3965dfe5cf68,52119-009,52119-009-10,10 kg in 1 DRUM (52119-009-10)
52119-009_73277f81-e4c8-4478-a9fa-3965dfe5cf68,52119-009,52119-009-15,15 kg in 1 DRUM (52119-009-15)
52119-009_73277f81-e4c8-4478-a9fa-3965dfe5cf68,52119-009,52119-009-20,20 kg in 1 DRUM (52119-009-20)
52119-009_73277f81-e4c8-4478-a9fa-3965dfe5cf68,52119-009,52119-009-25,25 kg in 1 DRUM (52119-009-25)
52119-011_f4fe9848-2ae0-4336-9582-1061f6f01687,52119-011,52119-011-05,5 kg in 1 DRUM (52119-011-05)
52119-011_f4fe9848-2ae0-4336-9582-1061f6f01687,52119-011,52119-011-10,10 kg in 1 DRUM (52119-011-10)
52119-011_f4fe9848-2ae0-4336-9582-1061f6f01687,52119-011,52119-011-25,25 kg in 1 DRUM (52119-011-25)
52119-012_43b15a88-41b3-3eab-e054-00144ff8d46c,52119-012,52119-012-05,5 kg in 1 DRUM (52119-012-05)
52119-012_43b15a88-41b3-3eab-e054-00144ff8d46c,52119-012,52119-012-10,10 kg in 1 DRUM (52119-012-10)
52119-012_43b15a88-41b3-3eab-e054-00144ff8d46c,52119-012,52119-012-15,15 kg in 1 DRUM (52119-012-15)
52119-012_43b15a88-41b3-3eab-e054-00144ff8d46c,52119-012,52119-012-20,20 kg in 1 DRUM (52119-012-20)
52119-012_43b15a88-41b3-3eab-e054-00144ff8d46c,52119-012,52119-012-25,25 kg in 1 DRUM (52119-012-25)
52119-015_5c73ae77-508d-40d5-ab60-e9e1f64738dd,52119-015,52119-015-05,5 kg in 1 DRUM (52119-015-05)
52119-015_5c73ae77-508d-40d5-ab60-e9e1f64738dd,52119-015,52119-015-10,10 kg in 1 DRUM (52119-015-10)
52119-015_5c73ae77-508d-40d5-ab60-e9e1f64738dd,52119-015,52119-015-15,15 kg in 1 DRUM (52119-015-15)
52119-015_5c73ae77-508d-40d5-ab60-e9e1f64738dd,52119-015,52119-015-20,20 kg in 1 DRUM (52119-015-20)
52119-015_5c73ae77-508d-40d5-ab60-e9e1f64738dd,52119-015,52119-015-25,25 kg in 1 DRUM (52119-015-25)
52121-5112_1571b246-4fcb-4f2b-819f-ebe095d97263,52121-5112,52121-5112-5,50 kg in 1 DRUM (52121-5112-5)
52128-121_faff2b32-37d0-44a6-9238-7451b868260f,52128-121,52128-121-01,1 kg in 1 CONTAINER (52128-121-01)
52128-122_55b7d4a5-8708-44f5-bf9c-2d75774385d7,52128-122,52128-122-01,1 kg in 1 CONTAINER (52128-122-01)
52128-123_05fb941e-ddf1-4aad-b262-23e05098b068,52128-123,52128-123-01,1 kg in 1 CONTAINER (52128-123-01)
52128-124_5cb1e9f4-d6a2-4bb0-9a8b-7a4645b96bb0,52128-124,52128-124-01,1 kg in 1 CONTAINER (52128-124-01)
52128-125_8dfcde0a-75c3-428d-9f20-b64c4522ef3c,52128-125,52128-125-01,1 kg in 1 CONTAINER (52128-125-01)
52128-126_6700dc1d-f87f-47a8-9a76-8c6ced0c83a9,52128-126,52128-126-01,1 kg in 1 CONTAINER (52128-126-01)
52128-127_7cc45a15-d2d1-48aa-b523-4d7585da0324,52128-127,52128-127-01,1 kg in 1 CONTAINER (52128-127-01)
52128-128_88f055a3-fa63-45b8-8f59-c598272860d4,52128-128,52128-128-01,1 kg in 1 CONTAINER (52128-128-01)
52128-129_245e0eaa-9d3b-44c3-b932-c1d6b16f9b46,52128-129,52128-129-01,1 kg in 1 CONTAINER (52128-129-01)
52128-130_549fd030-1c78-4e1c-ab53-2d447988d7af,52128-130,52128-130-01,1 kg in 1 CONTAINER (52128-130-01)
52128-131_08c49f91-009a-4b17-b854-5679254ba96e,52128-131,52128-131-01,1 kg in 1 CONTAINER (52128-131-01)
52128-133_4630ad6f-15a5-4b1d-b5e3-cd06b103fbef,52128-133,52128-133-01,1 kg in 1 CONTAINER (52128-133-01)
52128-134_8d303e3e-6c31-48e4-891a-bae53a9eb26e,52128-134,52128-134-01,1 kg in 1 CONTAINER (52128-134-01)
52128-135_76c3554e-de36-4509-b9b2-829c2989febf,52128-135,52128-135-01,1 kg in 1 CONTAINER (52128-135-01)
52128-136_c5647430-bd09-4e8a-a9db-0a4f06930e40,52128-136,52128-136-01,1 kg in 1 CONTAINER (52128-136-01)
52128-138_f017b002-d6fe-4d6b-ab1a-4c13bc5090a0,52128-138,52128-138-01,1 kg in 1 CONTAINER (52128-138-01)
52128-148_dc1f37a4-1ef6-4f52-917a-76bc7b90aaf5,52128-148,52128-148-01,1 kg in 1 CONTAINER (52128-148-01)
52128-149_d66f8ba9-8423-4fdc-bf15-d8457bd991a9,52128-149,52128-149-01,1 kg in 1 CONTAINER (52128-149-01)
52128-150_11d0000d-ca64-40f4-8b76-ef6e868aa330,52128-150,52128-150-01,1 kg in 1 CONTAINER (52128-150-01)
52128-151_60700a10-e7ad-4a20-b1c5-80d479337bc8,52128-151,52128-151-01,1 kg in 1 CONTAINER (52128-151-01)
52128-152_06b86f31-92ef-4be3-a94a-9566fc75ecb4,52128-152,52128-152-01,1 kg in 1 CONTAINER (52128-152-01)
52128-153_5a0faea9-f60f-4ded-af58-c9d575e419fa,52128-153,52128-153-01,1 kg in 1 CONTAINER (52128-153-01)
52128-154_caf551bd-f457-48ff-b298-7427605b0a69,52128-154,52128-154-01,1 kg in 1 CONTAINER (52128-154-01)
52128-155_1baea532-a46e-461b-9f42-ce592cd317bc,52128-155,52128-155-01,1 kg in 1 CONTAINER (52128-155-01)
52128-156_78d128f9-b6e6-4d99-b178-340cf6be83ea,52128-156,52128-156-01,1 kg in 1 CONTAINER (52128-156-01)
52128-157_50ba1d89-f14a-4477-9b78-283a569eee85,52128-157,52128-157-01,1 kg in 1 CONTAINER (52128-157-01)
52128-158_e146fac6-df8e-4a58-8cb3-bbf39917500d,52128-158,52128-158-01,1 kg in 1 CONTAINER (52128-158-01)
52128-159_f264026f-0ab7-45c2-a8ee-6fc0fe02e607,52128-159,52128-159-01,1 kg in 1 CONTAINER (52128-159-01)
52128-160_0d50a193-4d0c-41db-935b-f8104a4f08ce,52128-160,52128-160-01,1 kg in 1 CONTAINER (52128-160-01)
52128-161_9f3b2052-04b5-4ee6-b8af-28be5d6cf95e,52128-161,52128-161-01,1 kg in 1 CONTAINER (52128-161-01)
52128-162_cdb1123e-7cb3-4b67-bffb-5f6bb2cb9e70,52128-162,52128-162-01,1 kg in 1 CONTAINER (52128-162-01)
52128-163_01e6bb40-3912-4671-b96f-fa25b3b046e5,52128-163,52128-163-01,1 kg in 1 CONTAINER (52128-163-01)
52128-164_fcf90036-d73b-4c02-ae7f-b794fd4cd8d4,52128-164,52128-164-01,1 kg in 1 CONTAINER (52128-164-01)
52128-165_6de5801e-ba54-4971-9608-1cd17b6029d4,52128-165,52128-165-01,1 kg in 1 CONTAINER (52128-165-01)
52128-166_a50f27e7-b630-4276-a1f9-4df837f63caf,52128-166,52128-166-01,1 kg in 1 CONTAINER (52128-166-01)
52133-0002_0ad563e1-c149-43d7-9c34-592fa7ee90d5,52133-0002,52133-0002-0,50 kg in 1 DRUM (52133-0002-0)
52133-0005_a8e9eb54-e0ed-44d5-a13d-1d240c0ef0a5,52133-0005,52133-0005-0,50 kg in 1 DRUM (52133-0005-0)
52133-0007_7badb2c0-1a60-42cc-be4f-722fcaf20195,52133-0007,52133-0007-0,50 kg in 1 DRUM (52133-0007-0)
52133-0009_29b63709-8d01-4c71-ae0f-ef322ece0964,52133-0009,52133-0009-0,50 kg in 1 DRUM (52133-0009-0)
52133-0013_9926f5c6-cd0b-4737-a37c-fd31784c6bd1,52133-0013,52133-0013-0,25 kg in 1 DRUM (52133-0013-0)
52133-0018_1184e778-9341-49bd-bfaa-26a0f8056fd8,52133-0018,52133-0018-0,50 kg in 1 DRUM (52133-0018-0)
52133-0023_139453b0-58ac-4fa1-892c-1bc10fbd6906,52133-0023,52133-0023-0,"4.3 kg in 1 BOTTLE, GLASS (52133-0023-0)"
52133-0024_18416220-55ab-470a-873b-87d0c2990c1e,52133-0024,52133-0024-0,25 kg in 1 DRUM (52133-0024-0)
52133-0025_02d06753-e909-4e05-995a-1c3c35dfd319,52133-0025,52133-0025-0,25 kg in 1 DRUM (52133-0025-0)
52133-0026_c9a6153b-23d2-43f5-80e4-b7f585613ff3,52133-0026,52133-0026-0,50 kg in 1 DRUM (52133-0026-0)
52133-0028_1af4e986-7f88-4b3e-84c0-2ba2c42131b8,52133-0028,52133-0028-0,20 kg in 1 DRUM (52133-0028-0)
52133-0029_13ea981d-c035-4b3f-94cc-15070e28939d,52133-0029,52133-0029-0,15 kg in 1 DRUM (52133-0029-0)
52133-0030_4580aeb6-527b-468e-b006-ee64d108c37f,52133-0030,52133-0030-0,25 kg in 1 DRUM (52133-0030-0)
52133-0031_001f9583-9bd0-4103-acfd-7180b7da0e0c,52133-0031,52133-0031-1,25 kg in 1 DRUM (52133-0031-1)
52133-0031_540346be-f659-4381-a2a7-a746ec1d63f3,52133-0031,52133-0031-0,5 kg in 1 DRUM (52133-0031-0)
52133-0032_f0fbe4a7-437f-46a1-8a29-d417d044d002,52133-0032,52133-0032-0,20 kg in 1 DRUM (52133-0032-0)
52133-0033_8e547538-507e-47f7-bd1c-f7452e34c692,52133-0033,52133-0033-0,10 kg in 1 DRUM (52133-0033-0)
52133-0036_1cd68f37-b572-4cfa-bec3-6b380e3ab51a,52133-0036,52133-0036-0,15 kg in 1 DRUM (52133-0036-0)
52133-0037_8a470137-6ef4-4402-930b-49c912b42764,52133-0037,52133-0037-0,5 kg in 1 DRUM (52133-0037-0)
52133-0039_b03d4008-4bb1-4416-8df8-46b9998b582d,52133-0039,52133-0039-0,5 kg in 1 DRUM (52133-0039-0)
52133-0042_813f5fc5-861e-4451-b58f-e44848dadaa5,52133-0042,52133-0042-0,50 kg in 1 DRUM (52133-0042-0)
52133-0043_529c3d8d-3112-48a5-bfae-8c9d6c9131bb,52133-0043,52133-0043-0,25 kg in 1 DRUM (52133-0043-0)
52133-0044_711920cb-d8d1-4960-aa14-5ee3275392fb,52133-0044,52133-0044-0,25 kg in 1 DRUM (52133-0044-0)
52133-0045_b67ab4c2-b9bb-47df-97a4-72a9d51f871a,52133-0045,52133-0045-0,25 kg in 1 DRUM (52133-0045-0)
52134-0500_238eced8-9c56-4ec1-8591-5f035120e5c2,52134-0500,52134-0500-0,50 kg in 1 DRUM (52134-0500-0)
52134-0501_f595d6ed-5600-4e42-873d-b41654c5ec28,52134-0501,52134-0501-0,50 kg in 1 DRUM (52134-0501-0)
52134-0502_c62d6536-7a72-4241-8b0c-dc6a9fe4238f,52134-0502,52134-0502-0,50 kg in 1 DRUM (52134-0502-0)
52221-101_b48f960d-1ef7-4223-b979-c3d06eccb515,52221-101,52221-101-00,1 BAG in 1 CAN (52221-101-00)  > 5 kg in 1 BAG
52221-103_0ec77108-4c0e-44ae-adb5-a2145b97cc64,52221-103,52221-103-00,1 kg in 1 BAG (52221-103-00)
52221-104_e5f20d96-0e8c-4b1c-8317-8ed1f6faa06a,52221-104,52221-104-00,5 kg in 1 BAG (52221-104-00)
52221-105_9b7c4df6-0e58-41b5-95bc-89b6100e8db5,52221-105,52221-105-00,1 kg in 1 BAG (52221-105-00)
52221-106_d3e7d212-f3f7-4a97-9741-cb19d02a75b3,52221-106,52221-106-00,1 kg in 1 BAG (52221-106-00)
52221-107_1bad2605-d8f1-40ba-989e-299df00252f8,52221-107,52221-107-00,5 kg in 1 BAG (52221-107-00)
52221-108_9175c3bb-db93-455c-b0b5-c06c5ce8e039,52221-108,52221-108-00,5 kg in 1 BAG (52221-108-00)
52221-109_627f96bd-ea86-40dd-b068-568058d1406d,52221-109,52221-109-00,1 BAG in 1 CARTON (52221-109-00)  > .4 kg in 1 BAG
52221-110_efd726a4-b389-4084-8d1a-a7e0a8c7e4b6,52221-110,52221-110-00,1 CAN in 1 CARTON (52221-110-00)  > 1 BAG in 1 CAN > 1 kg in 1 BAG
52221-111_cd281552-e5b4-419e-87e1-ab4461669a9a,52221-111,52221-111-00,1 CAN in 1 CARTON (52221-111-00)  > 1 BAG in 1 CAN > 2 kg in 1 BAG
52221-112_0e1d9d68-4ff3-4109-bc9a-12340048e456,52221-112,52221-112-00,1 CAN in 1 CARTON (52221-112-00)  > 1 BAG in 1 CAN > 1 kg in 1 BAG
52221-113_2d744960-86a6-4226-9fce-b4c1aca99ae4,52221-113,52221-113-00,1 BAG in 1 CAN (52221-113-00)  > 1 kg in 1 BAG
52221-114_d281cc62-adc5-4e89-a558-65184599512e,52221-114,52221-114-00,1 CAN in 1 CARTON (52221-114-00)  > 1 BAG in 1 CAN > 1 kg in 1 BAG
52221-115_3f32b451-f614-45f5-9670-c71c78eacfb4,52221-115,52221-115-00,1 CAN in 1 CARTON (52221-115-00)  > 1 BAG in 1 CAN > 1 kg in 1 BAG
52221-116_8e8ad88f-384f-408b-815b-a924c4c01cf7,52221-116,52221-116-00,1 CAN in 1 CARTON (52221-116-00)  > 1 BAG in 1 CAN > 1000 g in 1 BAG
52221-117_5e6a8df7-fd48-46c4-a5c9-426175ae006b,52221-117,52221-117-00,1 CAN in 1 CARTON (52221-117-00)  > 1 BAG in 1 CAN > 2000 g in 1 BAG
52221-118_f73262a2-7f45-4e60-aa19-73a14e5a6c87,52221-118,52221-118-00,1 BAG in 1 CAN (52221-118-00)  > 10 kg in 1 BAG
52221-119_73c15ab9-cd1a-4a83-8a2e-d3a666bedb1c,52221-119,52221-119-00,1 BAG in 1 CAN (52221-119-00)  > 1 BAG in 1 BAG > 100 g in 1 BAG
52221-120_c6114786-5e5f-43d5-8dd7-0722f4f0a7cf,52221-120,52221-120-00,1 BAG in 1 CAN (52221-120-00)  > 1 BAG in 1 BAG > 500 g in 1 BAG
52221-201_587ca68a-6ab9-4bbb-a19b-8fec0c09fd90,52221-201,52221-201-00,1 BAG in 1 CAN (52221-201-00)  > 1 kg in 1 BAG
52222-0001_ecbd335e-30ec-4ce0-9993-6520e1c8eb25,52222-0001,52222-0001-1,2000 g in 1 CANISTER (52222-0001-1)
52239-0612_a3e5ac0b-ab15-4904-a6f6-0e8d07ca22f8,52239-0612,52239-0612-1,1 BAG in 1 DRUM (52239-0612-1)  > 25 kg in 1 BAG (52239-0612-2)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-01,1 kg in 1 DRUM (52247-001-01)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-02,2 kg in 1 DRUM (52247-001-02)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-03,3 kg in 1 DRUM (52247-001-03)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-04,5 kg in 1 DRUM (52247-001-04)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-05,7 kg in 1 DRUM (52247-001-05)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-06,10 kg in 1 DRUM (52247-001-06)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-07,20 kg in 1 DRUM (52247-001-07)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-08,21 kg in 1 DRUM (52247-001-08)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-09,22 kg in 1 DRUM (52247-001-09)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-10,23 kg in 1 DRUM (52247-001-10)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-11,24 kg in 1 DRUM (52247-001-11)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-12,25 kg in 1 DRUM (52247-001-12)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-13,26 kg in 1 DRUM (52247-001-13)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-14,27 kg in 1 DRUM (52247-001-14)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-15,28 kg in 1 DRUM (52247-001-15)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-16,29 kg in 1 DRUM (52247-001-16)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-17,30 kg in 1 DRUM (52247-001-17)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-18,31 kg in 1 DRUM (52247-001-18)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-19,32 kg in 1 DRUM (52247-001-19)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-20,33 kg in 1 DRUM (52247-001-20)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-21,34 kg in 1 DRUM (52247-001-21)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-22,35 kg in 1 DRUM (52247-001-22)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-23,36 kg in 1 DRUM (52247-001-23)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-24,37 kg in 1 DRUM (52247-001-24)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-25,38 kg in 1 DRUM (52247-001-25)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-26,39 kg in 1 DRUM (52247-001-26)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-27,40 kg in 1 DRUM (52247-001-27)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-28,41 kg in 1 DRUM (52247-001-28)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-29,42 kg in 1 DRUM (52247-001-29)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-30,43 kg in 1 DRUM (52247-001-30)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-31,44 kg in 1 DRUM (52247-001-31)
52247-001_179c8404-937f-36b6-e054-00144ff8d46c,52247-001,52247-001-32,45 kg in 1 DRUM (52247-001-32)
52266-010_7c13329d-e646-4243-a945-47cd92aa9837,52266-010,52266-010-05,153 VIAL in 1 TRAY (52266-010-05)  > 5 mL in 1 VIAL
52266-011_7c13329d-e646-4243-a945-47cd92aa9837,52266-011,52266-011-20,78 VIAL in 1 TRAY (52266-011-20)  > 20 mL in 1 VIAL
52286-0001_0b279250-a61d-4ee2-98e2-afad131bd63a,52286-0001,52286-0001-0,25 kg in 1 DRUM (52286-0001-0)
52286-0002_38635511-2d96-4aa7-8d7c-8de12318218a,52286-0002,52286-0002-0,30 kg in 1 DRUM (52286-0002-0)
52286-0003_23f41e55-22f4-4449-8004-a9a0dd3880d6,52286-0003,52286-0003-0,25 kg in 1 DRUM (52286-0003-0)
52286-0004_a5741598-5078-41b7-a33a-8135876ef8c4,52286-0004,52286-0004-0,25 kg in 1 DRUM (52286-0004-0)
52286-0005_64182681-abf4-4863-8b4c-6b87abeff308,52286-0005,52286-0005-0,40 kg in 1 DRUM (52286-0005-0)
52286-0006_6bb21801-d088-4bbf-b4f1-ec059e02225a,52286-0006,52286-0006-0,25 kg in 1 DRUM (52286-0006-0)
52286-0007_cbfa7119-d7f3-4686-af31-5db8c1cf5375,52286-0007,52286-0007-0,25 kg in 1 DRUM (52286-0007-0)
52286-0008_37cd62a8-3aa3-4165-9961-cd9253af3f8d,52286-0008,52286-0008-0,40 kg in 1 DRUM (52286-0008-0)
52286-0009_98cf77ca-67e8-41fc-ab71-f4cb0860ff34,52286-0009,52286-0009-0,40 kg in 1 DRUM (52286-0009-0)
52286-0010_c507461b-ac5b-460d-a9bb-a78ba1da1c4f,52286-0010,52286-0010-0,1 kg in 1 DRUM (52286-0010-0)
52286-0013_1b0ca868-0256-4523-b23a-67df85dc4284,52286-0013,52286-0013-0,25 kg in 1 DRUM (52286-0013-0)
52286-0014_3a3acc35-7fe7-42e4-b2b0-1bfb01f9b05c,52286-0014,52286-0014-0,40 kg in 1 DRUM (52286-0014-0)
52286-0015_452fd43f-da8b-4617-a1c8-ddf84c72eb53,52286-0015,52286-0015-0,40 kg in 1 DRUM (52286-0015-0)
52286-0016_407d7455-613a-4edd-a05f-24bf9bd40f6d,52286-0016,52286-0016-0,25 kg in 1 DRUM (52286-0016-0)
52286-0017_d2ec92f6-a012-46c1-bc9e-8b808fe449bb,52286-0017,52286-0017-0,1 kg in 1 DRUM (52286-0017-0)
52286-0018_9d0ed4ea-7190-4ea9-bc1e-6f0e79b21102,52286-0018,52286-0018-0,1 kg in 1 DRUM (52286-0018-0)
52286-0019_51852d5a-73fc-47cd-9cb4-aa8af53679e9,52286-0019,52286-0019-0,25 kg in 1 DRUM (52286-0019-0)
52286-0020_1b8a423d-2719-480d-a5bb-7aff0fed8275,52286-0020,52286-0020-0,25 kg in 1 DRUM (52286-0020-0)
52286-0021_025297a8-47d7-4451-a976-809c22fdec26,52286-0021,52286-0021-0,40 kg in 1 DRUM (52286-0021-0)
52286-0022_b7ddf5e7-5082-445a-a053-f7639d85e316,52286-0022,52286-0022-0,25 kg in 1 DRUM (52286-0022-0)
52286-0023_0a4add58-dff8-4234-b926-31382dec7813,52286-0023,52286-0023-0,25 kg in 1 DRUM (52286-0023-0)
52286-0024_b5c3b197-ed13-4eda-944b-ba2f460a8cfb,52286-0024,52286-0024-0,25 kg in 1 DRUM (52286-0024-0)
52286-4195_0cf278a0-5b59-4bb3-b14a-861fd1653868,52286-4195,52286-4195-0,40 kg in 1 DRUM (52286-4195-0)
52286-5500_4a8b1d74-5c83-48ad-8072-fa587237b706,52286-5500,52286-5500-0,25 kg in 1 DRUM (52286-5500-0)
52330-001_5a45fdf3-e989-4a2d-8652-1f04eaedb1ef,52330-001,52330-001-00,15 kg in 1 DRUM (52330-001-00)
52334-001_2ffe3e92-eaa8-2a16-e054-00144ff88e88,52334-001,52334-001-01,25 kg in 1 CARTON (52334-001-01)
52334-002_2fff9de7-5d48-4570-e054-00144ff8d46c,52334-002,52334-002-00,50 kg in 1 DRUM (52334-002-00)
52334-002_2fff9de7-5d48-4570-e054-00144ff8d46c,52334-002,52334-002-01,25 kg in 1 CARTON (52334-002-01)
52334-003_3000a0e5-c2ed-73e1-e054-00144ff8d46c,52334-003,52334-003-00,50 kg in 1 DRUM (52334-003-00)
52334-003_3000a0e5-c2ed-73e1-e054-00144ff8d46c,52334-003,52334-003-01,25 kg in 1 CARTON (52334-003-01)
