PRODUCTID,PRODUCTNDC,NDCPACKAGECODE,PACKAGEDESCRIPTION
38779-3065_4b56eb61-5da2-5d74-e054-00144ff8d46c,38779-3065,38779-3065-5,100 g in 1 JAR (38779-3065-5)
38779-3065_4b56eb61-5da2-5d74-e054-00144ff8d46c,38779-3065,38779-3065-6,1 g in 1 BOTTLE (38779-3065-6)
38779-3065_4b56eb61-5da2-5d74-e054-00144ff8d46c,38779-3065,38779-3065-8,500 g in 1 JAR (38779-3065-8)
38779-3065_4b56eb61-5da2-5d74-e054-00144ff8d46c,38779-3065,38779-3065-9,1000 g in 1 JAR (38779-3065-9)
38779-3075_5a923156-c45e-1a40-e053-2a91aa0ab124,38779-3075,38779-3075-0,.5 g in 1 BOTTLE (38779-3075-0)
38779-3075_5a923156-c45e-1a40-e053-2a91aa0ab124,38779-3075,38779-3075-3,5 g in 1 BOTTLE (38779-3075-3)
38779-3075_5a923156-c45e-1a40-e053-2a91aa0ab124,38779-3075,38779-3075-6,1 g in 1 BOTTLE (38779-3075-6)
38779-3075_5a923156-c45e-1a40-e053-2a91aa0ab124,38779-3075,38779-3075-9,.1 g in 1 BOTTLE (38779-3075-9)
38779-3081_5399b753-5ae1-1dd9-e054-00144ff88e88,38779-3081,38779-3081-4,25 g in 1 JAR (38779-3081-4)
38779-3081_5399b753-5ae1-1dd9-e054-00144ff88e88,38779-3081,38779-3081-5,100 g in 1 JAR (38779-3081-5)
38779-3081_5399b753-5ae1-1dd9-e054-00144ff88e88,38779-3081,38779-3081-8,500 g in 1 JAR (38779-3081-8)
38779-3081_5399b753-5ae1-1dd9-e054-00144ff88e88,38779-3081,38779-3081-9,1000 g in 1 JAR (38779-3081-9)
39345-1001_b722749d-8cdc-4a36-a83f-56fe1a009d68,39345-1001,39345-1001-1,50 kg in 1 DRUM (39345-1001-1)
39345-1005_508acba7-a883-4097-9bc5-f39fbbb08cb9,39345-1005,39345-1005-1,50 kg in 1 DRUM (39345-1005-1)
39345-1010_581878e0-66b6-44ac-b8f0-c66d101750b7,39345-1010,39345-1010-1,50 kg in 1 DRUM (39345-1010-1)
39345-1011_20903bd7-0ada-4ece-a265-a1c04ff84846,39345-1011,39345-1011-1,50 kg in 1 DRUM (39345-1011-1)
39345-1014_1b5d1218-3db6-4779-8cd8-ee953c24bdac,39345-1014,39345-1014-1,25 kg in 1 DRUM (39345-1014-1)
39345-1017_dd955d4d-6fb6-4601-97f6-675ab83ed29a,39345-1017,39345-1017-1,25 kg in 1 DRUM (39345-1017-1)
39345-1018_3235b2d3-7d5b-4817-9aa7-71d9489c88d4,39345-1018,39345-1018-1,50 kg in 1 DRUM (39345-1018-1)
39345-1022_37ffb170-01ed-6301-e054-00144ff8d46c,39345-1022,39345-1022-1,50 kg in 1 DRUM (39345-1022-1)
39345-1026_465434ec-9cc7-4e89-aebf-4b114828685f,39345-1026,39345-1026-1,50 kg in 1 DRUM (39345-1026-1)
39345-1027_37b0e5c2-bc52-4a45-9b52-9702f43a1082,39345-1027,39345-1027-1,50 kg in 1 DRUM (39345-1027-1)
39345-1029_c25546c0-39e0-4929-ad25-d0a7b57c761a,39345-1029,39345-1029-1,5 kg in 1 DRUM (39345-1029-1)
39345-1076_f66820ff-8907-4a58-9551-49882d6ac7c8,39345-1076,39345-1076-1,50 kg in 1 DRUM (39345-1076-1)
39345-1082_3119403d-2db5-37bc-e054-00144ff8d46c,39345-1082,39345-1082-1,50 kg in 1 DRUM (39345-1082-1)
39345-1093_31518552-bf10-374b-e054-00144ff88e88,39345-1093,39345-1093-1,25 kg in 1 DRUM (39345-1093-1)
39345-1096_1bd38aec-fe9a-4416-8700-5bc8fb05b449,39345-1096,39345-1096-1,25 kg in 1 DRUM (39345-1096-1)
39345-1108_6e82602c-1c51-45a5-a33d-44830e884a63,39345-1108,39345-1108-1,20 kg in 1 DRUM (39345-1108-1)
39345-1125_a72a3e05-4d9b-426f-a889-9f5ae3ee20b6,39345-1125,39345-1125-1,5 kg in 1 DRUM (39345-1125-1)
39345-1127_99e8024f-f316-4a26-809c-ef7fbadc95d7,39345-1127,39345-1127-1,.25 kg in 1 BOTTLE (39345-1127-1)
39345-1132_056dfe9a-8352-434f-9cc9-94b889387275,39345-1132,39345-1132-1,10 kg in 1 DRUM (39345-1132-1)
39345-1136_556ea149-a556-401b-a2bf-c752f6d4657e,39345-1136,39345-1136-1,20 kg in 1 DRUM (39345-1136-1)
39345-1157_8d8cfb5b-a896-4e75-830a-7f8519796a04,39345-1157,39345-1157-1,50 kg in 1 DRUM (39345-1157-1)
39345-1161_77fa730e-90fc-425e-8ea5-12132a4c0130,39345-1161,39345-1161-1,25 kg in 1 DRUM (39345-1161-1)
39345-1660_f89a64f2-fcdc-4bb7-8c9d-06d3a107c50c,39345-1660,39345-1660-1,198 kg in 1 DRUM (39345-1660-1)
39345-1661_48e5605a-48f0-4839-88fe-7124f615e034,39345-1661,39345-1661-1,54 kg in 1 DRUM (39345-1661-1)
39345-1662_f141fedc-a201-40e6-a165-4dcde56e7d6d,39345-1662,39345-1662-1,198 kg in 1 DRUM (39345-1662-1)
39345-2891_9bda36b8-dc67-42f7-9524-09089f46b38e,39345-2891,39345-2891-1,70 kg in 1 DRUM (39345-2891-1)
39345-2892_94e09a3b-b0f9-4aba-90af-9e96fab7d642,39345-2892,39345-2892-1,70 kg in 1 DRUM (39345-2892-1)
39345-5104_5487670d-de58-724a-e054-00144ff88e88,39345-5104,39345-5104-7,100 kg in 1 DRUM (39345-5104-7)
39345-6930_b9902851-6da5-43da-9675-ca45f13c0a67,39345-6930,39345-6930-1,70 kg in 1 DRUM (39345-6930-1)
39345-6931_0a3b6d19-0589-43c5-adcb-f138f9f07649,39345-6931,39345-6931-1,70 kg in 1 DRUM (39345-6931-1)
39345-6932_910bda79-9fa0-4c37-b5f0-49204c94a655,39345-6932,39345-6932-1,70 kg in 1 DRUM (39345-6932-1)
39345-6948_859968da-3a9f-400c-9965-87c2759e42ab,39345-6948,39345-6948-1,50 kg in 1 DRUM (39345-6948-1)
39345-6950_a3d435b1-283c-46b7-84a6-048aab6529a3,39345-6950,39345-6950-1,50 kg in 1 DRUM (39345-6950-1)
39345-8050_2eee6112-a46a-4123-b7e1-e5ec6d8e06e0,39345-8050,39345-8050-1,50 kg in 1 DRUM (39345-8050-1)
39345-8865_f444b35b-571c-4efd-835d-726f9be5b075,39345-8865,39345-8865-1,10 kg in 1 DRUM (39345-8865-1)
39635-0001_948fc637-20df-44e8-a562-9fc04ce87b54,39635-0001,39635-0001-1,25 kg in 1 DRUM (39635-0001-1)
39635-0002_8896f7b3-e28d-47cd-86ce-779f06b01562,39635-0002,39635-0002-1,25 kg in 1 DRUM (39635-0002-1)
39635-0002_8896f7b3-e28d-47cd-86ce-779f06b01562,39635-0002,39635-0002-2,40 kg in 1 DRUM (39635-0002-2)
40004-001_50fa8411-d149-2754-e054-00144ff8d46c,40004-001,40004-001-01,100 g in 1 BOX (40004-001-01)
40004-001_50fa8411-d149-2754-e054-00144ff8d46c,40004-001,40004-001-02,500 g in 1 BOX (40004-001-02)
40004-001_50fa8411-d149-2754-e054-00144ff8d46c,40004-001,40004-001-03,1000 g in 1 BOX (40004-001-03)
40004-001_50fa8411-d149-2754-e054-00144ff8d46c,40004-001,40004-001-04,5000 g in 1 BOX (40004-001-04)
40004-001_50fa8411-d149-2754-e054-00144ff8d46c,40004-001,40004-001-05,10000 g in 1 BOX (40004-001-05)
40004-002_50fa66eb-103e-25af-e054-00144ff8d46c,40004-002,40004-002-01,100 g in 1 BOX (40004-002-01)
40004-002_50fa66eb-103e-25af-e054-00144ff8d46c,40004-002,40004-002-02,500 g in 1 BOX (40004-002-02)
40004-002_50fa66eb-103e-25af-e054-00144ff8d46c,40004-002,40004-002-03,1000 g in 1 BOX (40004-002-03)
40004-002_50fa66eb-103e-25af-e054-00144ff8d46c,40004-002,40004-002-04,5000 g in 1 BOX (40004-002-04)
40004-002_50fa66eb-103e-25af-e054-00144ff8d46c,40004-002,40004-002-05,10000 g in 1 BOX (40004-002-05)
40006-010_d2b97b7f-d012-4fda-a1a0-f11a4def596a,40006-010,40006-010-01,60 kg in 1 BAG (40006-010-01)
40006-020_9361aa64-609f-4dac-a09d-a8493c01b373,40006-020,40006-020-01,50 kg in 1 DRUM (40006-020-01)
40006-030_01c28574-72db-4d83-9497-e8d31df1f572,40006-030,40006-030-02,50 kg in 1 DRUM (40006-030-02)
40006-030_bd458997-1b32-4a8b-b671-a6362661a8b3,40006-030,40006-030-01,130 kg in 1 DRUM (40006-030-01)
