2016 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,SNP,Sanction Deduction,2016 Part C Summary,2016 Part D Summary,2016 Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0710,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,4,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0712,Local CCP,WellCare,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",Yes,No,2.5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0735,Local CCP,EssentiaCare,UCARE MINNESOTA,UCare Minnesota,No,No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0755,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",No,No,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0773,Demo,Health Alliance Connect,HEALTH ALLIANCE CONNECT,The Carle Foundation,No,No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0811,Demo,GuildNet Gold Plus FIDA,"GUILDNET, INC.",Lighthouse Guild International,No,No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0838,Local CCP,Brand New Day,"UNIVERSAL CARE, INC.","Universal Care, Inc",Yes,No,3,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0840,Local CCP,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,No,No,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0879,Local CCP,CrestPoint Health Insurance Company,CRESTPOINT HEALTH INSURANCE COMPANY,Mountain States Health Alliance,No,No,3.5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0908,Local CCP,Buckeye Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,Yes,No,3,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0913,Local CCP,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","WellCare Health Plans, Inc.",Yes,No,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0927,Demo,Blue Cross Community MMAI,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,No,No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
